,id,crop,soil,deposition,geom
0,3778,pasture,Loam,7349206.60108208,"POLYGON ((95498.53109999746 164019.24069999903, 95489 164035, 95424.8200000003 164006.33999999985, 95420.29999999702 164017.37999999896, 95417.28000000119 164025.1099999994, 95415.4299999997 164029.8599999994, 95408.77369999886 164044.83350000158, 95407.5 164048, 95406.18999999762 164051.1400000006, 95488.94929999858 164098.92110000178, 95510.89999999851 164079.8999999985, 95532.04339999706 164089.942400001, 95576.88189999759 164027.1783999987, 95511.0203000009 163998.5901999995, 95498.53109999746 164019.24069999903))"
1,91379,root crop,Loam,10766664.9510498,"POLYGON ((99014.35000000149 167151.37000000104, 99013.25 167150.25, 99012.24000000209 167149.9600000009, 98827.39999999851 167231.7899999991, 98819.64029999822 167232.49830000103, 98773.25 167253.5, 98755.75 167265, 98734.89769999683 167287.45490000024, 98734 167288.5, 98717.54060000181 167323.01940000057, 98708.5075000003 167341.9840000011, 98909.5 167275.75, 99055.39350000024 167224.84010000154, 99057 167224.25, 99014.35000000149 167151.37000000104))"
2,479,tubers,Loam,9853980.07446897,"POLYGON ((98768.22339999676 168044.4208999984, 98764.81000000238 168121.1099999994, 98714.00999999791 168116.87000000104, 98714.7899999991 168175.8500000015, 98714.84260000288 168177.8302000016, 98714.91939999908 168180.7199999988, 98715.0700000003 168186.3900000006, 98715.05950000137 168191.62000000104, 98715.05610000342 168193.30000000075, 98848.63379999995 168209.2740000002, 98852.28000000119 168209.7100000009, 98868.60989999771 168132.6330000013, 98867.7100000009 168132.6099999994, 98819.75 168127.16000000015, 98826 168033.16000000015, 98769.65119999647 168025.92720000073, 98769.04999999702 168025.8500000015, 98768.22339999676 168044.4208999984))"
3,4278,root crop,Loam,6676201.70366362,"POLYGON ((99358.24570000172 162275.1788999997, 99357.25 162275.25, 99349.9720999971 162276.26080000028, 99347.43630000204 162276.61300000176, 99341.4897999987 162277.43890000135, 99339.25 162277.75, 99329.53980000317 162278.42749999836, 99317.10000000149 162279.6700000018, 99268.60100000352 162282.94640000165, 99242.75 162285, 99241.5605000034 162285.23270000145, 99221.3994999975 162289.1772999987, 99220.06000000238 162290.44000000134, 99218.85000000149 162292.19000000134, 99216.3002000004 162296.5500999987, 99213.64639999717 162301.08810000122, 99202.5 162322.25, 99283.0305000022 162362.93989999965, 99298 162370.5, 99283.25 162396.5, 99281.5 162401.5, 99272.5 162441.25, 99268.55309999734 162463.0742000006, 99326.78000000119 162490.5700000003, 99362.03000000119 162506.5700000003, 99369.71999999881 162493.5799999982, 99378.6400000006 162477.19999999925, 99390.9600000009 162452.6400000006, 99402.81000000238 162429.6099999994, 99425.4600000009 162385.58999999985, 99462.06949999928 162316.4611000009, 99440.25 162306.5, 99425.5 162299.25, 99414.75 162293.25, 99372.5 162271.75, 99360.75 162275, 99358.24570000172 162275.1788999997))"
4,45869,pasture,Loam,7266578.76083968,"POLYGON ((96311.34000000358 162276.3200000003, 96312.49000000209 162278.3299999982, 96313.4600000009 162280.62000000104, 96316.18999999762 162287.10500000045, 96318.50999999791 162293.80000000075, 96322.0700000003 162304.8200000003, 96323.29999999702 162310.8500000015, 96374.67000000179 162306.5, 96381.5 162306.5, 96416.25 162301.5, 96436.25 162292, 96442.48960000277 162287.62950000167, 96445.22999999672 162285.7100000009, 96472.3975000009 162255.53950000182, 96473 162254.87000000104, 96430.86999999732 162203.62000000104, 96430.2079000026 162203.97610000148, 96429.52499999851 162204.3449999988, 96429.17000000179 162203.9299999997, 96364.02220000327 162239.18409999833, 96363.47119999677 162239.4822999984, 96327.36180000007 162259.0225000009, 96308 162269.5, 96309.2899999991 162272.76000000164, 96311.34000000358 162276.3200000003), (96330.57999999821 162257.83999999985, 96331.11999999732 162259.01999999955, 96331.68500000238 162258.7650000006, 96335.46999999881 162266.7199999988, 96334.75 162267.05000000075, 96331.18999999762 162268.6950000003, 96327.6799999997 162261.0799999982, 96328.13000000268 162260.87000000104, 96327.36180000007 162259.0225000009, 96330.57999999821 162257.83999999985), (96382.88000000268 162296.5300000012, 96384.1099999994 162295.12999999896, 96385.20000000298 162294.8299999982, 96385.9600000009 162294.62000000104, 96386.90999999642 162294.73999999836, 96387.86999999732 162294.87000000104, 96389.63000000268 162295.44999999925, 96390.38000000268 162295.69000000134, 96390.74000000209 162295.9699999988, 96391.67000000179 162296.69000000134, 96393.56000000238 162299.1799999997, 96393.68999999762 162299.94000000134, 96393.6099999994 162300.6700000018, 96393.3200000003 162301.05000000075, 96390.93999999762 162302.05000000075, 96387.97999999672 162302.6499999985, 96385.00999999791 162302.8200000003, 96383.6799999997 162302.1000000015, 96382.86999999732 162301.6700000018, 96382.68999999762 162301.19000000134, 96382.22999999672 162299.94000000134, 96382.31000000238 162298.2100000009, 96382.75999999791 162296.8999999985, 96382.88000000268 162296.5300000012))"
5,23552,pasture,Loam,7483599.15342897,"POLYGON ((101591.43999999762 164337.8500000015, 101591.49000000209 164337.0799999982, 101590.98870000243 164335.61039999872, 101590.75999999791 164334.94000000134, 101590.66089999676 164334.08989999816, 101590.5700000003 164333.30999999866, 101590.9627000019 164332.78200000152, 101591.1799999997 164332.48999999836, 101593.56000000238 164331.1799999997, 101593.77939999849 164330.88960000128, 101594.24000000209 164330.2800000012, 101595.3377000019 164326.28940000013, 101596.27000000328 164322.8999999985, 101596.81000000238 164318.4200000018, 101597.41899999976 164316.80959999934, 101597.85000000149 164315.6700000018, 101601.99000000209 164308.80999999866, 101606.34000000358 164299.33999999985, 101609.07999999821 164300.19999999925, 101608.28649999946 164302.1486000009, 101606.7100000009 164306.01999999955, 101603.61999999732 164311.6000000015, 101602.79100000113 164312.80070000142, 101601.59000000358 164314.5399999991, 101598.8200000003 164322.0799999982, 101598.5549999997 164323.2950000018, 101598.12810000032 164325.46909999847, 101605.5 164309, 101608.99000000209 164302.6400000006, 101610.32999999821 164300.2100000009, 101612.90190000087 164295.53559999913, 101622 164279, 101634.46140000224 164252.9913999997, 101641 164239, 101635.5800999999 164238.8574000001, 101634.43999999762 164240.62999999896, 101632.58680000156 164241.97560000047, 101630.4600000009 164243.51999999955, 101629.04999999702 164245.4699999988, 101625.56000000238 164247.80000000075, 101624.59000000358 164249, 101624.29999999702 164249.55999999866, 101624.45620000362 164250.91039999947, 101624.57999999821 164251.98000000045, 101627.3200000003 164257.2899999991, 101627.44359999895 164258.190200001, 101627.1099999994 164259.6000000015, 101625.99000000209 164260.5, 101623.2100000009 164261.5399999991, 101622.3599999994 164262.44999999925, 101622.22770000249 164262.86930000037, 101621.46999999881 164265.26999999955, 101619.0698999986 164264.38019999862, 101618.53000000119 164264.1799999997, 101618.6221999973 164263.84059999883, 101618.96999999881 164262.55999999866, 101619.70000000298 164261.0399999991, 101620.6099999994 164259.80999999866, 101621.3703000024 164259.21029999852, 101622.9299999997 164257.98000000045, 101623.25 164257.16000000015, 101622.96490000188 164255.32079999894, 101622.85000000149 164254.5799999982, 101622.33900000155 164254.21130000055, 101621.27000000328 164253.44000000134, 101620.97999999672 164252.91000000015, 101620.35000000149 164248.80999999866, 101620.46999999881 164246.6799999997, 101620.63210000098 164246.22069999948, 101620.77000000328 164245.8299999982, 101622.14999999851 164243.98999999836, 101622.83980000019 164243.95569999889, 101623.75999999791 164243.91000000015, 101625.15999999642 164243.3599999994, 101626.79999999702 164243.0399999991, 101627.3900000006 164243.48000000045, 101627.64999999851 164244.0700000003, 101628.03000000119 164244.1799999997, 101628.6099999994 164243.7800000012, 101629.75999999791 164240.7100000009, 101630.46999999881 164239.3299999982, 101631.1400000006 164238.74049999937, 101622 164238.5, 101613.5 164235.25, 101545.25 164383.75, 101552.05089999735 164388.2285999991, 101553.03000000119 164387.4600000009, 101554.5 164387.41000000015, 101556.820600003 164385.93100000173, 101558.25 164385.01999999955, 101560.7452000007 164384.13960000128, 101561.82869999856 164383.71930000186, 101582 164361.5, 101592.50090000033 164338.04039999843, 101591.43999999762 164337.8500000015))"
6,131753,pasture,Loam,6685641.63357566,"POLYGON ((100859.3599999994 162804.12000000104, 100858.41189999878 162804.35700000077, 100855.3599999994 162805.12000000104, 100851.21869999915 162813.84710000083, 100848.53410000354 162819.5031999983, 100848.3599999994 162819.87000000104, 100844.3599999994 162823.87000000104, 100836.63000000268 162828.7650000006, 100835.95000000298 162829.16000000015, 100822.17809999734 162836.42570000142, 100819.63000000268 162837.76999999955, 100815.5700000003 162839.91000000015, 100815.76420000196 162840.2415000014, 100831.1099999994 162866.37000000104, 100787.69870000333 162894.313000001, 100788.8546999991 162896.34540000185, 100797.29999999702 162908.5700000003, 100797.59000000358 162908.98999999836, 100801.90900000185 162914.91820000112, 100804 162914.5, 100825.50079999864 162900.2712999992, 100899.22999999672 162851.48000000045, 100863.36909999698 162808.88109999895, 100861.77769999951 162806.99069999903, 100859.3599999994 162804.12000000104))"
7,159235,pasture,Loam,9404880.24771704,"POLYGON ((100543.75 167856, 100555.95970000327 167847.69079999998, 100548.9897999987 167826.45010000095, 100548.17220000178 167823.43939999864, 100533.32999999821 167778.75, 100528.49480000138 167768.44889999926, 100527.57999999821 167766.5, 100527.05150000006 167766.2864000015, 100525.25999999791 167766.98999999836, 100519.21999999881 167768.8999999985, 100516.0700000003 167770.3999999985, 100514.47869999707 167771.2675999999, 100511.86999999732 167772.69000000134, 100508.59000000358 167774.87999999896, 100497.85000000149 167786.26999999955, 100493.47999999672 167791.4600000009, 100488.47999999672 167797.0300000012, 100487.28000000119 167798.75, 100486.54540000111 167800.07330000028, 100486.31059999764 167803.31340000033, 100485.8377000019 167809.8398000002, 100485.89829999954 167811.38010000065, 100486.00999999791 167814.2199999988, 100485.72999999672 167816.0300000012, 100485.43699999899 167816.6986999996, 100484.95000000298 167817.80999999866, 100483.68999999762 167819.94000000134, 100481.57999999821 167822.48000000045, 100480.95840000361 167823.12909999862, 100480.5 167824, 100476 167829, 100468.5 167833.75, 100458.75289999694 167834.77650000155, 100457.95000000298 167834.8900000006, 100456.22999999672 167834.7800000012, 100454.49000000209 167834.1700000018, 100453.32959999889 167833.89169999957, 100451.8906000033 167833.54659999907, 100446.98080000281 167832.68519999832, 100445.2202000022 167832.6251000017, 100443.89999999851 167832.5799999982, 100441.9496999979 167832.81749999896, 100441.11969999969 167832.91860000044, 100435.1903000027 167834.09149999917, 100429.7899999991 167835.6499999985, 100425.60000000149 167836.2800000012, 100424.2798999995 167836.24960000068, 100421.75 167836.75, 100405.78980000317 167835.10779999942, 100414.63419999927 167859.09690000117, 100421.72900000215 167878.34039999917, 100422.38000000268 167878.83999999985, 100425.20000000298 167884.33999999985, 100425.74000000209 167885.91000000015, 100426.09000000358 167886.9299999997, 100426.6099999994 167889.19999999925, 100426.82999999821 167890.16000000015, 100427.86999999732 167897.4600000009, 100427.32999999821 167901.73000000045, 100425.43999999762 167908, 100423.61999999732 167914.05000000075, 100421.6799999997 167919.55999999866, 100420.96999999881 167922.0300000012, 100419.3599999994 167927.62000000104, 100418.31000000238 167931.98999999836, 100418.81000000238 167935.1689000018, 100419.25 167936, 100424.5 167938.75, 100444 167938.75, 100543.93339999765 167932.51909999922, 100548.25 167932.25, 100532.62730000168 167881.42399999872, 100526.5399999991 167861.3999999985, 100525 167857, 100543.75 167856))"
8,161282,tubers,Loam,7004934.11276848,"POLYGON ((100169.50710000098 163649.25609999895, 100152.66860000044 163640.9829000011, 100148.71890000254 163639.0421999991, 100147.94430000335 163638.66160000116, 100112 163621, 100079.83169999719 163604.82710000128, 100066.75 163598.25, 100065 163599.25, 100043.04089999944 163644.80040000007, 100208 163722.80000000075, 100228 163678, 100169.50710000098 163649.25609999895))"
9,132268,pasture,Loam,7008378.00038051,"POLYGON ((97462.25999999791 163433.7100000009, 97456.24130000174 163431.1435999982, 97452.29999999702 163427.5300000012, 97450.3200000003 163426, 97449.57999999821 163425.2100000009, 97448.49000000209 163424.05000000075, 97445.61999999732 163420.3999999985, 97445.43999999762 163420.16000000015, 97443.14999999851 163417.0799999982, 97442.8900000006 163416.69999999925, 97438.60000000149 163410.87999999896, 97435.75 163409.25, 97394.5 163441, 97376.5 163401, 97364.75 163376.25, 97364.55129999667 163376.4523999989, 97327.42000000179 163408.4600000009, 97332.25 163415.25, 97333.42029999942 163417.92990000173, 97337.7899999991 163419.44999999925, 97340.27000000328 163420.5399999991, 97341.85000000149 163421.98999999836, 97342.82999999821 163423.3200000003, 97342.9600000009 163424.83999999985, 97342.89999999851 163425.16000000015, 97342.53000000119 163427.23000000045, 97342.86999999732 163428.8599999994, 97345.5 163433.6000000015, 97345.3900000006 163435.2800000012, 97345.07999999821 163435.87000000104, 97344.47999999672 163437.01999999955, 97343.21639999747 163440.3616000004, 97342.25 163443.9699999988, 97342.79999999702 163445.4200000018, 97346.95090000331 163448.91310000047, 97355.3049999997 163453.32499999925, 97358.45000000298 163455.3500000015, 97359.22999999672 163457.0399999991, 97359.5150000006 163457.71499999985, 97359.29999999702 163459.44999999925, 97358.89500000328 163461.30999999866, 97357.95000000298 163463.2199999988, 97357.22999999672 163464.6499999985, 97356.5 163466.8200000003, 97356.29999999702 163467.41000000015, 97356.5700000003 163468.1700000018, 97356.8200000003 163468.8900000006, 97357.75 163470.26000000164, 97358.31000000238 163470.8999999985, 97358.90999999642 163471.5799999982, 97360.3200000003 163472.7899999991, 97360.77000000328 163473.1700000018, 97361.57999999821 163473.51000000164, 97362.2899999991 163475.0700000003, 97362.60000000149 163475.76000000164, 97362.6400000006 163477.05999999866, 97361.7100000009 163482.1700000018, 97361.58839999884 163482.43070000038, 97361.03000000119 163486.38500000164, 97363.1400000006 163489.73000000045, 97365.86110000312 163492.21440000087, 97367.04999999702 163493.30000000075, 97367.53000000119 163495.26000000164, 97367.61999999732 163495.6099999994, 97366.57999999821 163496.55999999866, 97358.87120000273 163499.0020999983, 97357.58330000192 163499.77899999917, 97363.869599998 163519.52010000125, 97364.56870000064 163519.37370000035, 97371.38710000366 163517.9461000003, 97425.3900000006 163507.75, 97432.1345999986 163505.27309999987, 97433.45000000298 163504.7899999991, 97435.32999999821 163503.75, 97436.0700000003 163503.3500000015, 97436.64999999851 163502.8900000006, 97438.25999999791 163501.6099999994, 97443.8825000003 163497.71880000085, 97427.75 163464.25, 97431.15450000018 163461.25129999965, 97461.11850000173 163434.72019999847, 97462.25999999791 163433.7100000009))"
